trip_name,counts
Grant Avenue at Columbus Avenue - Post at Kearny,232
Beale at Market - Spear at Folsom,231
Market at Sansome - San Francisco Caltrain 2 (330 Townsend),230
Post at Kearny - Market at 10th,228
Spear at Folsom - Market at 4th,227
San Francisco Caltrain (Townsend at 4th) - Golden Gate at Polk,227
Beale at Market - Market at 4th,226
Davis at Jackson - Davis at Jackson,226
2nd at Folsom - Market at Sansome,223
Market at 10th - Powell at Post (Union Square),223
Steuart at Market - 2nd at Folsom,222
Spear at Folsom - Market at Sansome,221
Grant Avenue at Columbus Avenue - Steuart at Market,221
Broadway St at Battery St - Clay at Battery,220
San Antonio Shopping Center - San Antonio Caltrain Station,220
Harry Bridges Plaza (Ferry Building) - Powell at Post (Union Square),220
5th at Howard - 2nd at South Park,219
2nd at Townsend - Commercial at Montgomery,219
Spear at Folsom - San Francisco Caltrain 2 (330 Townsend),218
Townsend at 7th - Townsend at 7th,218
South Van Ness at Market - Yerba Buena Center of the Arts (3rd @ Howard),218
San Francisco Caltrain 2 (330 Townsend) - Powell at Post (Union Square),218
Temporary Transbay Terminal (Howard at Beale) - Post at Kearny,217
Washington at Kearny - Post at Kearny,216
Spear at Folsom - Mechanics Plaza (Market at Battery),215
Golden Gate at Polk - Market at Sansome,215
2nd at Folsom - Powell Street BART,214
Powell Street BART - Powell Street BART,214
Embarcadero at Bryant - 2nd at Townsend,214
Grant Avenue at Columbus Avenue - Grant Avenue at Columbus Avenue,213
Broadway St at Battery St - Market at Sansome,212
Yerba Buena Center of the Arts (3rd @ Howard) - 2nd at South Park,212
South Van Ness at Market - Howard at 2nd,210
Palo Alto Caltrain Station - California Ave Caltrain Station,209
Grant Avenue at Columbus Avenue - Market at 4th,209
St James Park - San Jose Diridon Caltrain Station,208
2nd at Townsend - Yerba Buena Center of the Arts (3rd @ Howard),208
Beale at Market - Temporary Transbay Terminal (Howard at Beale),208
Townsend at 7th - Market at 4th,208
Commercial at Montgomery - Embarcadero at Sansome,208
Grant Avenue at Columbus Avenue - 2nd at Townsend,208
Market at 10th - Post at Kearny,207
Market at 10th - 5th at Howard,206
Beale at Market - South Van Ness at Market,206
South Van Ness at Market - Temporary Transbay Terminal (Howard at Beale),206
Steuart at Market - Yerba Buena Center of the Arts (3rd @ Howard),205
Harry Bridges Plaza (Ferry Building) - Embarcadero at Folsom,204
Grant Avenue at Columbus Avenue - 2nd at South Park,203
Market at 4th - Clay at Battery,202
Powell at Post (Union Square) - Harry Bridges Plaza (Ferry Building),202
Yerba Buena Center of the Arts (3rd @ Howard) - 2nd at Townsend,202
Rengstorff Avenue / California Street - San Antonio Caltrain Station,201
Temporary Transbay Terminal (Howard at Beale) - Washington at Kearny,201
Beale at Market - San Francisco Caltrain (Townsend at 4th),200
Powell Street BART - 2nd at South Park,200
Market at Sansome - Powell Street BART,199
Grant Avenue at Columbus Avenue - Powell at Post (Union Square),199
Harry Bridges Plaza (Ferry Building) - Broadway St at Battery St,199
San Francisco Caltrain (Townsend at 4th) - San Francisco Caltrain (Townsend at 4th),199
Powell at Post (Union Square) - Broadway St at Battery St,198
Howard at 2nd - Embarcadero at Sansome,196
Market at 4th - Howard at 2nd,196
Market at Sansome - Clay at Battery,196
Beale at Market - Embarcadero at Bryant,195
Golden Gate at Polk - Powell Street BART,195
Powell at Post (Union Square) - Powell at Post (Union Square),195
San Salvador at 1st - San Jose Diridon Caltrain Station,194
Arena Green / SAP Center - Santa Clara at Almaden,194
Market at 10th - Beale at Market,193
Market at 10th - Temporary Transbay Terminal (Howard at Beale),193
Powell Street BART - Steuart at Market,193
Embarcadero at Bryant - Market at 4th,193
Townsend at 7th - Steuart at Market,192
Embarcadero at Bryant - Market at Sansome,192
2nd at Folsom - Market at 10th,191
5th at Howard - Yerba Buena Center of the Arts (3rd @ Howard),191
Embarcadero at Bryant - San Francisco Caltrain 2 (330 Townsend),190
South Van Ness at Market - Post at Kearny,190
Broadway St at Battery St - Embarcadero at Sansome,190
Davis at Jackson - Spear at Folsom,189
Market at Sansome - Civic Center BART (7th at Market),189
Embarcadero at Sansome - Powell Street BART,189
Civic Center BART (7th at Market) - Mechanics Plaza (Market at Battery),189
